state,avg_rainfall_mm,river_level_m,elevation_m,distance_to_river_km,drainage_quality,soil_type,past_flood_events,flood_risk
Kwara,234.3,3.29,205.1,0.36,Good,Clay,5,Medium
Kwara,249.6,8.15,209.3,24.54,Poor,Loamy,4,Low
Lagos,177.3,5.91,237.0,12.38,Good,Clay,4,Low
Kwara,407.7,6.84,25.9,23.47,Fair,Loamy,5,Low
Jigawa,308.0,2.16,389.2,13.78,Fair,Sandy,4,Low
Benue,165.3,10.26,187.2,15.18,Poor,Loamy,5,Medium
Niger,169.5,9.74,370.8,17.83,Good,Clay,0,Low
Rivers,406.5,3.45,5.9,8.09,Fair,Loamy,2,Medium
Kwara,55.5,8.16,100.5,17.5,Good,Loamy,5,Medium
Anambra,179.1,10.09,43.4,13.22,Good,Sandy,3,Medium
Kogi,271.7,8.23,308.3,16.84,Poor,Clay,3,Medium
Jigawa,109.3,4.76,129.4,20.91,Fair,Clay,0,Low
Delta,86.8,8.39,336.5,4.69,Fair,Sandy,5,Low
Rivers,376.1,3.71,333.3,15.38,Fair,Loamy,4,Low
Niger,407.8,4.84,267.8,1.4,Good,Loamy,2,Low
Rivers,379.4,4.02,267.0,2.64,Fair,Clay,3,Low
Kwara,409.5,7.35,280.7,16.9,Fair,Loamy,2,Low
Lagos,271.2,2.64,270.2,1.87,Good,Sandy,2,Low
Kogi,374.9,11.3,156.0,14.92,Fair,Clay,1,Low
Kogi,203.6,5.0,273.8,5.58,Fair,Loamy,2,Low
Delta,316.5,3.8,359.2,7.67,Good,Sandy,5,Low
Lagos,445.5,6.71,134.4,3.33,Fair,Sandy,1,Low
Benue,140.3,4.41,378.1,6.29,Poor,Clay,0,Low
Bayelsa,206.0,7.12,7.4,20.55,Good,Clay,4,Medium
Jigawa,242.0,5.16,140.9,16.01,Fair,Loamy,1,Low
Kogi,105.2,2.89,54.6,23.75,Poor,Loamy,2,Medium
Anambra,82.4,4.29,52.4,1.31,Good,Loamy,4,Medium
Kogi,381.9,6.1,326.5,19.83,Fair,Sandy,2,Low
Rivers,440.7,1.82,367.5,17.51,Good,Sandy,2,Low
Kogi,211.9,9.59,311.5,6.6,Poor,Loamy,1,Medium
Kogi,85.1,8.03,390.7,18.26,Good,Clay,0,Low
Bayelsa,76.3,7.81,88.1,17.94,Fair,Sandy,2,Medium
Bayelsa,406.5,7.23,58.0,11.54,Poor,Sandy,5,Medium
Niger,235.5,7.7,209.2,17.25,Good,Loamy,1,Low
Benue,178.0,11.31,332.0,11.17,Fair,Clay,5,Medium
Anambra,240.6,1.59,17.9,8.46,Fair,Sandy,5,Low
Kogi,177.3,2.0,398.2,11.72,Poor,Clay,2,Low
Kogi,245.6,3.51,241.7,22.39,Poor,Sandy,5,Low
Jigawa,393.8,3.26,391.6,9.68,Good,Clay,4,Low
Bayelsa,286.9,3.4,147.3,10.15,Fair,Clay,0,Low
Anambra,327.9,8.56,184.3,15.25,Poor,Sandy,2,Low
Delta,195.9,6.32,301.4,18.85,Fair,Clay,5,Medium
Niger,345.4,11.91,317.5,18.39,Good,Sandy,0,Low
Benue,316.6,3.88,94.7,0.59,Poor,Sandy,0,Low
Lagos,97.8,4.76,372.1,17.22,Good,Clay,4,Low
Benue,279.1,11.83,347.2,11.32,Good,Sandy,4,Low
Rivers,152.7,10.23,9.2,13.15,Poor,Clay,3,High
Kogi,371.6,6.43,53.2,14.09,Good,Sandy,0,Low
Niger,220.4,7.32,199.4,18.32,Fair,Clay,2,Low
Rivers,447.9,10.35,185.5,20.8,Poor,Sandy,4,Medium
Anambra,87.0,6.55,283.9,16.19,Fair,Sandy,2,Low
Lagos,362.1,3.66,37.7,14.14,Good,Loamy,0,Low
Bayelsa,319.5,10.2,258.7,9.41,Poor,Sandy,4,Medium
Niger,357.0,7.15,247.3,3.53,Fair,Sandy,3,Low
Niger,173.0,3.11,95.0,23.97,Fair,Clay,0,Low
Kogi,246.8,6.81,217.9,11.6,Fair,Clay,2,Low
Kwara,368.6,5.84,90.4,14.2,Fair,Clay,3,Medium
Niger,143.0,10.71,60.5,18.8,Fair,Clay,0,Medium
Jigawa,140.4,2.82,230.1,1.8,Good,Loamy,4,Low
Lagos,270.4,10.69,391.0,21.39,Good,Loamy,5,Low
Lagos,259.4,6.88,96.3,19.95,Good,Clay,0,Low
Jigawa,162.9,5.75,143.4,19.38,Good,Clay,1,Low
Delta,169.2,3.2,104.1,0.65,Good,Clay,2,Low
Jigawa,161.1,8.86,108.1,13.21,Good,Clay,4,High
Jigawa,358.6,11.23,162.9,1.45,Good,Sandy,4,Low
Lagos,310.8,5.44,281.3,13.82,Fair,Clay,1,Low
Benue,383.0,4.04,17.4,17.99,Good,Sandy,5,Medium
Lagos,440.2,7.33,382.9,3.13,Fair,Clay,3,Low
Kwara,239.7,9.86,20.4,17.4,Poor,Loamy,4,High
Kogi,76.7,1.54,352.7,11.29,Good,Loamy,3,Low
Rivers,69.2,8.13,358.0,20.31,Fair,Clay,3,Medium
Benue,168.3,7.76,210.7,13.39,Poor,Loamy,3,Medium
Bayelsa,423.0,4.84,56.5,8.47,Poor,Loamy,5,Medium
Rivers,259.3,6.24,226.9,8.37,Fair,Loamy,0,Low
Kogi,158.7,4.09,252.2,22.45,Fair,Loamy,1,Low
Kwara,209.7,9.79,343.4,11.38,Fair,Sandy,2,Low
Kwara,289.4,8.16,221.3,10.2,Good,Sandy,1,Low
Bayelsa,311.2,7.09,165.5,1.09,Poor,Sandy,4,Low
Benue,111.6,5.62,335.6,9.17,Good,Sandy,1,Low
Delta,440.8,4.56,392.4,21.26,Good,Clay,2,Low
Jigawa,267.9,10.14,258.8,19.05,Good,Loamy,0,Low
Benue,104.3,6.24,350.0,5.6,Poor,Loamy,4,Low
Delta,407.5,6.77,240.3,10.39,Poor,Clay,0,Low
Kwara,79.9,6.97,276.5,4.99,Poor,Clay,4,Medium
Lagos,413.1,6.21,275.9,23.86,Fair,Sandy,2,Low
Kogi,448.6,4.19,282.5,14.99,Good,Sandy,0,Low
Bayelsa,330.2,2.76,129.8,18.88,Fair,Loamy,2,Medium
Kogi,358.2,2.53,231.1,17.87,Fair,Clay,2,Low
Anambra,184.9,9.45,238.5,21.85,Good,Loamy,5,Low
Anambra,426.6,3.85,127.4,23.74,Poor,Clay,1,Medium
Benue,261.9,2.08,141.2,0.91,Good,Sandy,4,Low
Kwara,343.0,9.87,305.4,24.38,Fair,Loamy,3,Low
Kwara,419.6,3.12,233.9,21.78,Poor,Loamy,3,Low
Jigawa,440.1,8.06,61.4,9.64,Poor,Clay,0,High
Jigawa,383.3,5.06,335.4,20.94,Fair,Loamy,2,Low
Jigawa,171.2,2.83,353.5,18.44,Poor,Sandy,1,Low
Lagos,436.6,5.85,187.5,19.85,Poor,Loamy,4,Medium
Rivers,301.2,1.66,85.1,5.6,Good,Clay,0,Low
Niger,422.3,10.33,379.1,16.25,Good,Loamy,2,Low
Rivers,320.4,6.89,353.1,0.75,Fair,Sandy,5,Medium
Kogi,172.9,2.96,99.3,21.22,Fair,Clay,3,Medium
Rivers,198.0,3.99,40.0,23.78,Fair,Clay,3,Medium
Lagos,270.2,6.2,177.4,16.59,Poor,Sandy,4,Medium
Kogi,366.0,3.48,271.2,12.87,Fair,Clay,4,Low
Rivers,177.2,4.32,71.8,18.17,Good,Clay,4,Medium
Lagos,281.9,7.11,206.3,8.23,Poor,Loamy,0,Low
Niger,188.2,10.24,171.3,15.7,Fair,Clay,4,Medium
Rivers,376.3,5.72,356.4,18.0,Poor,Loamy,0,Low
Lagos,236.7,9.03,173.0,3.65,Poor,Sandy,1,Low
Jigawa,80.7,10.71,214.4,3.59,Poor,Sandy,2,Medium
Kwara,116.4,3.77,382.2,17.93,Fair,Sandy,3,Low
Jigawa,74.4,9.98,121.3,10.85,Poor,Sandy,0,Medium
Kwara,249.7,9.45,117.0,22.24,Poor,Clay,2,High
Bayelsa,92.5,5.25,320.2,7.87,Poor,Clay,5,Medium
Bayelsa,95.7,11.89,112.5,1.16,Good,Loamy,4,High
Bayelsa,426.4,4.26,333.1,16.28,Fair,Loamy,3,Low
Niger,399.1,4.18,40.0,17.14,Good,Loamy,5,Low
Jigawa,230.8,9.61,46.3,13.88,Poor,Clay,0,High
Kwara,444.3,6.06,360.7,17.11,Poor,Loamy,4,Low
Lagos,50.1,4.97,217.2,13.14,Good,Clay,2,Low
Kogi,295.6,3.38,288.1,17.35,Poor,Sandy,1,Low
Lagos,296.6,9.54,91.7,1.19,Good,Clay,2,Medium
Kogi,233.0,9.76,68.2,9.27,Poor,Sandy,0,Low
Anambra,208.8,7.45,334.3,5.35,Poor,Loamy,1,Low
Lagos,232.2,11.55,144.7,2.57,Poor,Clay,1,High
Rivers,216.0,4.84,183.1,5.93,Poor,Loamy,4,Low
Rivers,342.2,3.81,13.1,4.86,Fair,Loamy,2,High
Benue,104.1,8.61,155.6,24.33,Fair,Sandy,0,Low
Jigawa,129.1,9.46,308.6,7.23,Fair,Loamy,5,High
Kogi,122.2,3.86,328.9,5.85,Good,Clay,5,Medium
Kogi,155.0,2.3,280.1,20.89,Good,Loamy,1,Low
Jigawa,260.1,10.01,277.5,10.54,Good,Sandy,4,Low
Niger,94.5,11.75,203.5,10.59,Good,Sandy,5,Low
Benue,397.3,8.27,216.3,11.15,Fair,Loamy,1,Low
Niger,168.9,4.42,297.6,10.47,Good,Sandy,2,Low
Niger,115.0,11.97,100.4,8.23,Good,Loamy,5,Medium
Niger,320.2,10.88,94.1,7.23,Good,Sandy,3,Medium
Jigawa,65.2,6.89,380.1,22.06,Poor,Loamy,0,Low
Niger,298.0,10.17,13.0,4.13,Good,Loamy,3,High
Rivers,329.3,10.07,57.5,4.61,Poor,Clay,2,High
Bayelsa,136.0,11.32,229.0,14.34,Good,Clay,3,Low
Anambra,66.8,10.33,295.7,8.66,Good,Loamy,2,Low
Kogi,195.5,8.26,216.1,10.6,Poor,Clay,2,Medium
Kogi,89.4,7.9,143.3,20.18,Good,Clay,4,High
Anambra,96.6,6.41,391.2,22.6,Poor,Sandy,3,Low
Jigawa,151.7,8.08,282.1,19.78,Good,Clay,1,Low
Lagos,168.2,9.85,332.9,5.95,Good,Sandy,2,Low
Jigawa,262.0,11.67,18.0,24.5,Poor,Clay,3,High
Kogi,321.4,6.41,95.9,9.14,Fair,Clay,1,Low
Kogi,287.1,7.52,150.9,4.31,Poor,Loamy,0,Medium
Anambra,109.3,6.17,74.7,12.54,Fair,Clay,1,Medium
Niger,118.8,8.52,31.0,18.16,Poor,Loamy,3,Medium
Jigawa,401.5,8.11,91.6,2.17,Fair,Loamy,3,Medium
Kwara,273.3,1.69,214.4,15.89,Good,Loamy,1,Low
Anambra,398.0,7.18,278.9,21.47,Fair,Loamy,1,Low
Rivers,198.6,2.43,310.1,6.62,Good,Clay,5,Low
Kogi,295.8,1.78,19.1,17.36,Poor,Loamy,2,High
Anambra,259.5,9.81,172.3,10.06,Fair,Clay,3,Low
Jigawa,177.6,4.22,50.6,10.41,Good,Clay,2,Low
Kogi,238.0,5.08,173.6,7.09,Poor,Sandy,2,Low
Lagos,251.0,2.17,174.7,15.65,Fair,Sandy,0,Low
Anambra,130.3,3.38,200.3,9.09,Good,Sandy,3,Low
Benue,176.0,9.54,357.3,20.79,Fair,Loamy,2,Low
Kogi,366.6,6.68,322.4,24.08,Fair,Clay,0,Low
Jigawa,416.3,10.75,255.4,23.38,Good,Clay,5,Low
Bayelsa,193.9,5.67,354.4,4.16,Good,Loamy,2,Low
Kwara,172.8,4.32,272.0,0.45,Poor,Sandy,2,Low
Delta,128.1,5.15,327.9,11.02,Good,Sandy,5,Low
Niger,321.4,8.98,226.4,18.25,Good,Clay,3,Low
Delta,179.2,7.33,211.0,24.44,Fair,Clay,1,Low
Jigawa,445.1,10.99,290.2,19.61,Good,Clay,5,Low
Rivers,180.3,7.82,9.8,14.56,Fair,Sandy,1,Medium
Rivers,207.7,6.68,276.8,0.76,Fair,Clay,3,Medium
Bayelsa,291.3,9.75,373.9,20.66,Good,Sandy,1,Low
Niger,370.7,11.45,286.1,4.51,Good,Sandy,4,Low
Benue,237.8,5.24,16.6,1.48,Good,Sandy,1,Low
Bayelsa,219.1,4.12,152.4,21.27,Good,Loamy,5,Low
Delta,448.3,7.97,324.2,14.2,Poor,Loamy,2,Medium
Bayelsa,54.2,6.74,383.5,3.3,Fair,Clay,2,Low
Delta,408.0,11.89,149.3,9.72,Poor,Sandy,0,Medium
Kogi,109.7,6.35,336.8,2.23,Poor,Clay,5,Medium
Rivers,364.4,2.28,345.8,15.99,Fair,Sandy,3,Low
Kogi,297.2,11.76,51.1,7.13,Poor,Clay,0,Medium
Kwara,186.7,10.36,338.6,21.67,Good,Clay,2,Low
Niger,399.5,3.37,131.1,9.01,Good,Loamy,2,Low
Benue,55.2,11.0,238.1,12.42,Good,Loamy,0,Low
Delta,140.7,5.08,216.5,1.68,Good,Loamy,5,Low
Benue,276.8,5.46,265.9,6.96,Fair,Loamy,4,Low
Delta,190.6,11.02,296.7,16.95,Good,Sandy,1,Low
Jigawa,294.2,7.07,177.5,18.43,Fair,Clay,4,Medium
Bayelsa,59.6,2.95,355.5,6.15,Fair,Clay,4,Medium
Kwara,96.6,5.38,324.2,12.65,Fair,Sandy,4,Low
Rivers,100.8,9.08,314.6,20.46,Fair,Sandy,5,Low
Delta,125.7,3.33,184.4,9.56,Poor,Clay,4,Medium
Benue,233.7,7.7,17.0,3.43,Poor,Loamy,1,Medium
Kwara,350.9,8.8,197.9,10.85,Good,Loamy,3,Low
Lagos,412.2,5.11,359.6,15.06,Fair,Loamy,0,Low
Lagos,384.1,8.79,77.8,0.28,Good,Sandy,4,Medium
Kogi,128.8,10.78,393.1,8.78,Good,Clay,4,Low
Rivers,226.5,6.46,323.5,15.23,Good,Sandy,0,Low
Jigawa,129.8,5.52,284.5,23.8,Good,Clay,0,Low
Benue,155.8,4.14,271.5,10.27,Fair,Loamy,3,Low
Bayelsa,251.4,7.84,235.6,4.16,Fair,Loamy,2,Low
Bayelsa,77.2,10.74,288.8,13.4,Poor,Loamy,3,Low
Benue,137.3,4.91,169.9,7.22,Fair,Clay,2,Low
Niger,424.2,5.66,338.4,5.45,Fair,Loamy,5,Low
Jigawa,236.4,5.77,279.1,14.8,Good,Clay,1,Low
Kwara,228.2,7.39,309.0,22.91,Fair,Sandy,3,Low
Delta,55.8,3.9,317.4,20.9,Good,Loamy,1,Low
Niger,149.0,10.13,38.6,4.64,Fair,Sandy,0,Low
Delta,396.5,4.6,24.1,19.17,Poor,Sandy,3,Low
Delta,115.9,8.91,320.8,5.82,Good,Clay,5,Medium
Niger,216.0,6.89,105.2,7.34,Fair,Sandy,0,Low
Kogi,55.7,7.65,233.6,23.01,Fair,Clay,5,Medium
Lagos,241.3,3.39,178.6,22.79,Good,Clay,5,Low
Delta,58.4,9.22,10.8,4.3,Poor,Sandy,4,High
Niger,377.8,3.48,18.0,1.7,Poor,Clay,0,High
Niger,379.9,2.69,331.2,7.4,Fair,Clay,5,Medium
Anambra,365.1,7.24,243.9,14.59,Fair,Clay,4,Low
Kogi,163.3,8.95,210.5,21.93,Fair,Sandy,2,Low
Rivers,384.9,2.03,377.9,3.06,Good,Clay,4,Low
Anambra,267.2,2.23,70.9,10.43,Good,Loamy,2,Low
Anambra,199.5,9.93,104.7,6.87,Good,Sandy,4,Medium
Benue,300.1,9.99,303.2,0.47,Fair,Sandy,4,Low
Lagos,54.9,4.08,310.5,19.73,Poor,Clay,1,Low
Niger,107.2,7.96,163.1,20.35,Good,Sandy,1,Low
Lagos,346.9,6.15,380.5,5.61,Poor,Loamy,0,Low
Jigawa,147.7,8.14,375.4,3.87,Fair,Sandy,5,Low
Benue,289.2,10.56,6.9,3.7,Good,Sandy,1,Medium
Rivers,204.0,2.34,70.6,11.65,Good,Sandy,2,Low
Lagos,391.9,9.67,328.4,6.24,Good,Clay,1,Low
Bayelsa,431.0,6.68,135.4,12.83,Fair,Loamy,0,Medium
Delta,403.4,7.42,40.0,9.68,Fair,Loamy,3,Low
Jigawa,158.2,8.37,314.4,5.35,Fair,Loamy,2,Low
Kogi,127.7,11.19,182.9,18.8,Poor,Sandy,3,Medium
Rivers,239.8,2.1,198.0,3.84,Poor,Loamy,2,Low
Jigawa,52.9,1.81,76.2,19.99,Good,Clay,5,Medium
Delta,60.3,3.37,265.0,14.08,Good,Sandy,5,Low
Benue,271.3,11.86,221.4,20.82,Fair,Clay,5,Medium
Delta,258.2,9.01,84.3,0.22,Fair,Sandy,0,High
Anambra,447.8,7.95,137.5,18.75,Fair,Clay,1,Medium
Delta,130.7,1.99,239.6,1.38,Good,Sandy,3,Low
Anambra,153.2,10.73,370.1,23.76,Fair,Clay,3,Low
Benue,95.4,10.03,368.3,17.6,Poor,Loamy,1,Low
Kwara,417.0,8.48,116.6,8.07,Poor,Sandy,0,Medium
Anambra,361.1,5.06,294.8,8.06,Good,Sandy,1,Low
Kogi,378.9,2.24,310.7,21.55,Good,Clay,4,Low
Delta,411.1,7.59,323.9,22.58,Poor,Clay,4,High
Delta,260.0,9.06,229.2,22.3,Fair,Clay,5,Medium
Kogi,230.5,2.49,6.2,20.24,Good,Sandy,4,Medium
Bayelsa,182.2,8.15,305.1,20.49,Good,Clay,3,Low
Niger,285.7,4.51,44.4,14.36,Good,Loamy,5,Medium
Kwara,231.7,9.52,48.5,0.8,Poor,Clay,3,High
Rivers,230.6,7.17,243.0,2.26,Good,Clay,0,Low
Anambra,424.8,2.85,393.4,16.27,Poor,Clay,2,Low
Kogi,443.6,7.03,98.5,10.09,Poor,Loamy,1,Low
Benue,368.6,5.66,259.0,14.23,Fair,Clay,2,Low
